id,title,severity,status,createdAt,resolvedAt,mttr,affectedServices,rootComponent,triggeredBy,resolvedBy,errorCode,customerImpact,summary,team,similarIncidents,region
INC-3115,Logic Apps — Trigger Recurrence Drift — Australia East,Sev3,Resolved,2025-03-01T12:00:00.000Z,2025-03-01T12:30:00.000Z,30 min,svc-logicapps,comp-logicEngine,CR-9807,TSG-214,LogicApps-RecurrenceDrift,"~1,722 customers — Scheduled workflows running late by up to 45min",Scheduled workflows running late by up to 45min. Root component: comp-logicEngine. Triggered by CR-9807. Resolved using TSG-214.,team-apps,INC-2226|INC-1416,Australia East
INC-3401,Cosmos DB — RU Throttling Cascade on Hot Partition,Sev2,Resolved,2025-02-28T14:20:00Z,2025-02-28T14:50:00Z,30 min,svc-cosmos|svc-functions|svc-appSvc,comp-cosmosRU,CR-9840,TSG-309,CosmosDB-429-TooManyRequests,"~22,000 customers — document writes throttled, app backpressure",Index policy change increased RU cost per write 3×. Hot partition exceeded provisioned throughput.,team-cosmos,INC-2847,East US
INC-1575,Cosmos Gateway — TLS Handshake Failure — Australia East,Sev3,Resolved,2025-02-28T12:00:00.000Z,2025-02-28T12:18:00.000Z,18 min,svc-cosmos,comp-cosmosGW,,TSG-309,CosmosGW-TLS-Error,"~1,960 customers — SDK connections failing — apps unable to connect to Cosmos",SDK connections failing — apps unable to connect to Cosmos. Root component: comp-cosmosGW. Resolved using TSG-309.,team-cosmos,,East US
INC-2916,Logic Apps — Trigger Recurrence Drift — North EU,Sev3,Resolved,2025-02-28T12:00:00.000Z,2025-02-28T12:22:00.000Z,22 min,svc-logicapps|svc-storage|svc-svcbus,comp-logicEngine,CR-9759,,LogicApps-RecurrenceDrift,"~2,213 customers — Scheduled workflows running late by up to 45min",Scheduled workflows running late by up to 45min. Root component: comp-logicEngine. Triggered by CR-9759.,team-apps,INC-2440|INC-2083|INC-2487,Southeast Asia
INC-3390,Azure DevOps — Git Push Timeout — Southeast Asia,Sev4,Resolved,2025-02-28T12:00:00.000Z,2025-02-28T12:18:00.000Z,18 min,svc-ado|svc-aad,comp-adoGit,CR-9828,TSG-234,GitPackTimeout,~362 customers — Large repo pushes timing out — developers blocked,Large repo pushes timing out — developers blocked. Root component: comp-adoGit. Triggered by CR-9828. Resolved using TSG-234.,team-ado,INC-1853,East US 2
INC-3633,Functions — Storage Trigger Polling Lag — Southeast Asia,Sev0,Resolved,2025-02-28T12:00:00.000Z,2025-02-28T15:59:00.000Z,239 min,svc-functions,comp-funcHost,CR-9834,TSG-265,Functions-StorageTriggerLag,"~109,641 customers — Blob-triggered functions delayed 10–20min — batch pipelines impacted",Blob-triggered functions delayed 10–20min — batch pipelines impacted. Root component: comp-funcHost. Triggered by CR-9834. Resolved using TSG-265.,team-apps,INC-1213|INC-2684|INC-2602,Australia East
INC-1573,ACR — Geo-Replication Sync Lag > 10min — East US,Sev4,Mitigating,2025-02-27T12:00:00.000Z,,,svc-acr,comp-acrGeo,,TSG-241,ACR-GeoSyncTimeout,~212 customers — Cross-region image availability degraded — DR runbooks at risk,Cross-region image availability degraded — DR runbooks at risk. Root component: comp-acrGeo. Resolved using TSG-241.,team-containers,INC-1045|INC-1542|INC-1475,Japan East
INC-1561,Storage RP — Throttling on PUT Operations — UK South,Sev4,Resolved,2025-02-26T12:00:00.000Z,2025-02-26T12:20:00.000Z,20 min,svc-storage,comp-storageRP,,,ThrottlingError-429,~94 customers — Batch upload jobs failing with throttle errors,Batch upload jobs failing with throttle errors. Root component: comp-storageRP.,team-storage,INC-1144|INC-1116|INC-1207,East US
INC-2690,Storage RP — Throttling on PUT Operations — East US,Sev3,Active,2025-02-26T12:00:00.000Z,,,svc-storage,comp-storageRP,CR-9780,TSG-441,ThrottlingError-429,~896 customers — Batch upload jobs failing with throttle errors,Batch upload jobs failing with throttle errors. Root component: comp-storageRP. Triggered by CR-9780. Resolved using TSG-441.,team-storage,,Southeast Asia
INC-2935,Logic Apps — OAuth Token Expiry Loop — East US,Sev4,Resolved,2025-02-26T12:00:00.000Z,2025-02-26T12:10:00.000Z,10 min,svc-logicapps|svc-svcbus,comp-logicConn,,TSG-214,LogicApps-AuthExpired,~113 customers — Automated workflows paused — IT approval workflows broken,Automated workflows paused — IT approval workflows broken. Root component: comp-logicConn. Resolved using TSG-214.,team-apps,INC-1347,West US 2
INC-3147,Key Vault — Access Policy Propagation Delay — East US 2,Sev2,Mitigating,2025-02-26T12:00:00.000Z,,,svc-keyvault|svc-evhub,comp-kvRP,,TSG-255,Forbidden-403,"~8,439 customers — New app identities unable to access secrets after RBAC grant",New app identities unable to access secrets after RBAC grant. Root component: comp-kvRP. Resolved using TSG-255.,team-sec,INC-1313,Southeast Asia
INC-2216,Service Bus — Session Lock Expiry Storm — North EU,Sev3,Resolved,2025-02-25T12:00:00.000Z,2025-02-25T12:48:00.000Z,48 min,svc-svcbus,comp-svcbusBroker,CR-9786,TSG-258,ServiceBus-SessionLockLost,"~3,847 customers — Competing consumers stealing sessions — duplicate processing risk",Competing consumers stealing sessions — duplicate processing risk. Root component: comp-svcbusBroker. Triggered by CR-9786. Resolved using TSG-258.,team-msg,,North EU
INC-3488,Redis Cache — Cluster Rebalancing Memory Eviction Storm,Sev2,Resolved,2025-02-25T09:45:00Z,2025-02-25T10:25:00Z,40 min,svc-redis|svc-appSvc|svc-functions,comp-redisCluster,CR-9830,TSG-279,Redis-OOM-MaxMemory,"~9,500 customers — session data lost, cache miss storm hitting SQL",Shard rebalancing CR triggered eviction storm. SQL hit rate spiked 10×.,team-cache,INC-3012,East US 2
INC-1327,Redis — Memory Eviction Storm — East US,Sev4,Resolved,2025-02-24T12:00:00.000Z,2025-02-24T12:09:00.000Z,9 min,svc-redis,comp-redisCluster,,TSG-279,Redis-OOM-MaxMemory,~336 customers — Hot keys evicted — session data lost for ~5% active users,Hot keys evicted — session data lost for ~5% active users. Root component: comp-redisCluster. Resolved using TSG-279.,team-cache,INC-1194|INC-1128|INC-1138,North EU
INC-1073,Cosmos DB — Replication Lag > 5s — East US,Sev2,Resolved,2025-02-23T12:00:00.000Z,2025-02-23T12:21:00.000Z,21 min,svc-cosmos|svc-aad|svc-appSvc,comp-cosmosRU,,TSG-309,CosmosDB-ConsistencyViolation,"~4,690 customers — Multi-region reads returning stale data — financial integrity risk",Multi-region reads returning stale data — financial integrity risk. Root component: comp-cosmosRU. Resolved using TSG-309.,team-cosmos,,Southeast Asia
INC-1617,Service Bus — Session Lock Expiry Storm — Japan East,Sev3,Mitigating,2025-02-23T12:00:00.000Z,,,svc-svcbus|svc-logicapps,comp-svcbusBroker,,TSG-258,ServiceBus-SessionLockLost,~245 customers — Competing consumers stealing sessions — duplicate processing risk,Competing consumers stealing sessions — duplicate processing risk. Root component: comp-svcbusBroker. Resolved using TSG-258.,team-msg,INC-1590|INC-3204|INC-1573,Southeast Asia
INC-2931,Azure SQL — TLS Handshake Timeout Cascade — East US,Sev3,Resolved,2025-02-23T12:00:00.000Z,2025-02-23T12:42:00.000Z,42 min,svc-sql|svc-ado,comp-sqlGW,CR-9864,TSG-319,SSL_ERROR_HANDSHAKE_FAILURE,"~1,226 customers — CI/CD pipeline SQL checks failing — connection pool exhaustion",CI/CD pipeline SQL checks failing — connection pool exhaustion. Root component: comp-sqlGW. Triggered by CR-9864. Resolved using TSG-319.,team-sql,INC-2551|INC-1943,Japan East
INC-3132,Redis — Memory Eviction Storm — North EU,Sev0,Resolved,2025-02-23T12:00:00.000Z,2025-02-23T15:30:00.000Z,210 min,svc-redis|svc-appSvc|svc-functions,comp-redisCluster,CR-9855,TSG-279,Redis-OOM-MaxMemory,"~344,052 customers — Hot keys evicted — session data lost for ~5% active users",Hot keys evicted — session data lost for ~5% active users. Root component: comp-redisCluster. Triggered by CR-9855. Resolved using TSG-279.,team-cache,INC-2027|INC-2581,East US 2
INC-2021,Monitor — Log Analytics Ingestion Lag — West US 2,Sev3,Mitigating,2025-02-22T12:00:00.000Z,,,svc-monitor,comp-logAnalytics,,,IngestionLag,"~2,381 customers — Dashboards showing stale data — oncall missing signals",Dashboards showing stale data — oncall missing signals. Root component: comp-logAnalytics.,team-obs,INC-1411|INC-1017,North EU
INC-2027,AKS — Upgrade Version Skew Crash — Southeast Asia,Sev4,Resolved,2025-02-22T12:00:00.000Z,2025-02-22T12:23:00.000Z,23 min,svc-aks|svc-lb|svc-acr,comp-aksCP,,,AKS-VersionSkewError,~278 customers — Mixed node versions causing scheduler failures,Mixed node versions causing scheduler failures. Root component: comp-aksCP.,team-containers,INC-1494|INC-1976|INC-1891,Japan East
INC-2451,LB — Backend Pool Drain During Deployment — UK South,Sev1,Resolved,2025-02-22T12:00:00.000Z,2025-02-22T13:41:00.000Z,101 min,svc-lb|svc-appSvc,comp-lbBackend,CR-9792,TSG-227,LB-BackendDrainTimeout,"~94,833 customers — Zero-downtime deployment stalled — old pods receiving traffic",Zero-downtime deployment stalled — old pods receiving traffic. Root component: comp-lbBackend. Triggered by CR-9792. Resolved using TSG-227.,team-net,,Australia East
INC-3014,Azure Files — SMB Mount Failures — East US,Sev4,Active,2025-02-22T12:00:00.000Z,,,svc-storage|svc-functions,comp-storageFE,CR-9924,TSG-441,SMBMountFailed-53,~140 customers — Azure Files shares unmountable from VMs,Azure Files shares unmountable from VMs. Root component: comp-storageFE. Triggered by CR-9924. Resolved using TSG-441.,team-storage,INC-1913,Southeast Asia
INC-2479,Storage Frontend — Nginx Worker OOM — Australia East,Sev4,Resolved,2025-02-21T12:00:00.000Z,2025-02-21T12:15:00.000Z,15 min,svc-storage|svc-cdn,comp-storageFE,,TSG-441,OOMKiller-nginx,~334 customers — Storage frontend crashes — intermittent 502s,Storage frontend crashes — intermittent 502s. Root component: comp-storageFE. Resolved using TSG-441.,team-storage,INC-1873|INC-1547,UK South
INC-2941,AKS — Node Pool OOM Eviction Storm — Southeast Asia,Sev3,Resolved,2025-02-21T12:00:00.000Z,2025-02-21T12:49:00.000Z,49 min,svc-aks,comp-aksNodepool,CR-9837,,AKS-OOMEviction,"~3,333 customers — Pods evicted across multiple nodes — service disruption",Pods evicted across multiple nodes — service disruption. Root component: comp-aksNodepool. Triggered by CR-9837.,team-containers,,East US 2
INC-3437,Cosmos Gateway — TLS Handshake Failure — UK South,Sev2,Resolved,2025-02-21T12:00:00.000Z,2025-02-21T13:23:00.000Z,83 min,svc-cosmos|svc-aad|svc-appSvc,comp-cosmosGW,CR-9903,,CosmosGW-TLS-Error,"~18,007 customers — SDK connections failing — apps unable to connect to Cosmos",SDK connections failing — apps unable to connect to Cosmos. Root component: comp-cosmosGW. Triggered by CR-9903.,team-cosmos,INC-3125,North EU
INC-1782,App Service — 503 Errors on Downstream SQL — East US,Sev1,Resolved,2025-02-20T12:00:00.000Z,2025-02-20T14:07:00.000Z,127 min,svc-appSvc|svc-storage|svc-aad,comp-appPlan,CR-9909,TSG-271,UpstreamConnectionFailure,"~17,895 customers — App Service apps returning 503 on DB-bound requests",App Service apps returning 503 on DB-bound requests. Root component: comp-appPlan. Triggered by CR-9909. Resolved using TSG-271.,team-apps,,Australia East
INC-2161,Event Hub Broker — Message Loss on Failover — Southeast Asia,Sev1,Resolved,2025-02-20T12:00:00.000Z,2025-02-20T13:43:00.000Z,103 min,svc-evhub|svc-monitor,comp-evhubBroker,,,MessageLoss-GeoFailover,"~21,680 customers — ~0.02% message loss during regional failover test",~0.02% message loss during regional failover test. Root component: comp-evhubBroker.,team-msg,INC-1257|INC-1128|INC-1575,Southeast Asia
INC-2950,Logic Apps — OAuth Token Expiry Loop — Japan East,Sev3,Resolved,2025-02-20T12:00:00.000Z,2025-02-20T12:21:00.000Z,21 min,svc-logicapps|svc-svcbus,comp-logicConn,,TSG-214,LogicApps-AuthExpired,"~4,775 customers — Automated workflows paused — IT approval workflows broken",Automated workflows paused — IT approval workflows broken. Root component: comp-logicConn. Resolved using TSG-214.,team-apps,INC-1750,Japan East
INC-1003,App Service — 503 Errors on Downstream SQL — East US 2,Sev3,Resolved,2025-02-19T12:00:00.000Z,2025-02-19T12:35:00.000Z,35 min,svc-appSvc,comp-appPlan,,TSG-271,UpstreamConnectionFailure,"~2,846 customers — App Service apps returning 503 on DB-bound requests",App Service apps returning 503 on DB-bound requests. Root component: comp-appPlan. Resolved using TSG-271.,team-apps,INC-3310|INC-2847|INC-3156,East US
INC-1943,CDN POP — Traffic Spike Causing Eviction — North EU,Sev4,Mitigating,2025-02-19T12:00:00.000Z,,,svc-cdn|svc-storage,comp-cdnPOP,CR-9903,,CDN-CacheEviction,~137 customers — Cache hit ratio drops to 20% — origin overloaded,Cache hit ratio drops to 20% — origin overloaded. Root component: comp-cdnPOP. Triggered by CR-9903.,team-net,INC-1556,UK South
INC-3078,Event Hub Broker — Message Loss on Failover — Southeast Asia,Sev3,Resolved,2025-02-19T12:00:00.000Z,2025-02-19T12:37:00.000Z,37 min,svc-evhub|svc-keyvault|svc-monitor,comp-evhubBroker,,TSG-288,MessageLoss-GeoFailover,"~3,795 customers — ~0.02% message loss during regional failover test",~0.02% message loss during regional failover test. Root component: comp-evhubBroker. Resolved using TSG-288.,team-msg,,Southeast Asia
INC-2110,Storage RP — Throttling on PUT Operations — Japan East,Sev2,Resolved,2025-02-18T12:00:00.000Z,2025-02-18T12:50:00.000Z,50 min,svc-storage,comp-storageRP,,TSG-208,ThrottlingError-429,"~23,572 customers — Batch upload jobs failing with throttle errors",Batch upload jobs failing with throttle errors. Root component: comp-storageRP. Resolved using TSG-208.,team-storage,,Southeast Asia
INC-2247,App Service — Autoscale Not Triggering — Australia East,Sev2,Resolved,2025-02-18T12:00:00.000Z,2025-02-18T13:07:00.000Z,67 min,svc-appSvc,comp-appPlan,CR-9918,,AutoscaleDecisionDelay,"~2,320 customers — Traffic spike absorbing all instances — high error rate",Traffic spike absorbing all instances — high error rate. Root component: comp-appPlan. Triggered by CR-9918.,team-apps,INC-1279,Southeast Asia
INC-1285,Cosmos DB — Index Policy Rebuild Timeout — East US,Sev1,Active,2025-02-17T12:00:00.000Z,,,svc-cosmos,comp-cosmosRU,,TSG-309,CosmosDB-IndexBuildTimeout,"~51,861 customers — Queries returning full scans — 100× latency increase",Queries returning full scans — 100× latency increase. Root component: comp-cosmosRU. Resolved using TSG-309.,team-cosmos,INC-1121|INC-1128,Southeast Asia
INC-1512,SQL Gateway — Memory Pressure OOM — North EU,Sev3,Mitigating,2025-02-17T12:00:00.000Z,,,svc-sql|svc-appSvc|svc-ado,comp-sqlGW,CR-9915,TSG-319,SQLGateway-OOM,"~3,807 customers — Gateway process crash — connection reset on all clients",Gateway process crash — connection reset on all clients. Root component: comp-sqlGW. Triggered by CR-9915. Resolved using TSG-319.,team-sql,INC-1023|INC-1207|INC-1475,UK South
INC-1604,AKS — Node Pool OOM Eviction Storm — East US,Sev0,Resolved,2025-02-17T12:00:00.000Z,2025-02-17T18:04:00.000Z,364 min,svc-aks|svc-keyvault|svc-aad,comp-aksNodepool,CR-9915,TSG-301,AKS-OOMEviction,"~109,020 customers — Pods evicted across multiple nodes — service disruption",Pods evicted across multiple nodes — service disruption. Root component: comp-aksNodepool. Triggered by CR-9915. Resolved using TSG-301.,team-containers,INC-1170,Japan East
INC-2235,App Service — 503 Errors on Downstream SQL — North EU,Sev0,Mitigating,2025-02-16T12:00:00.000Z,,,svc-appSvc|svc-storage|svc-sql,comp-appPlan,CR-9906,,UpstreamConnectionFailure,"~393,016 customers — App Service apps returning 503 on DB-bound requests",App Service apps returning 503 on DB-bound requests. Root component: comp-appPlan. Triggered by CR-9906.,team-apps,INC-1684,East US
INC-3277,Event Hub — Partition Rebalancing Storm — Australia East,Sev3,Mitigating,2025-02-16T12:00:00.000Z,,,svc-evhub,comp-evhubNS,CR-9759,TSG-288,PartitionRebalanceTimeout,"~2,315 customers — Consumer disconnections during namespace scale-up",Consumer disconnections during namespace scale-up. Root component: comp-evhubNS. Triggered by CR-9759. Resolved using TSG-288.,team-msg,INC-2447,Australia East
INC-1332,App Service — 503 Errors on Downstream SQL — UK South,Sev1,Active,2025-02-15T12:00:00.000Z,,,svc-appSvc|svc-redis,comp-appPlan,CR-9756,TSG-271,UpstreamConnectionFailure,"~59,124 customers — App Service apps returning 503 on DB-bound requests",App Service apps returning 503 on DB-bound requests. Root component: comp-appPlan. Triggered by CR-9756. Resolved using TSG-271.,team-apps,INC-2847|INC-1244|INC-1099,Australia East
INC-2440,Key Vault HSM — Failover Latency Spike — Southeast Asia,Sev3,Resolved,2025-02-15T12:00:00.000Z,2025-02-15T12:14:00.000Z,14 min,svc-keyvault|svc-aad|svc-storage,comp-kvHSM,CR-9768,TSG-255,KeyVaultError-HSMTimeout,"~4,633 customers — Secret retrieval P99 > 8s — apps timing out on startup",Secret retrieval P99 > 8s — apps timing out on startup. Root component: comp-kvHSM. Triggered by CR-9768. Resolved using TSG-255.,team-sec,INC-2314,UK South
INC-3354,Azure SQL — TLS Handshake Timeout Cascade — West US 2,Sev4,Mitigating,2025-02-15T12:00:00.000Z,,,svc-sql|svc-appSvc,comp-sqlGW,CR-9852,TSG-319,SSL_ERROR_HANDSHAKE_FAILURE,~312 customers — CI/CD pipeline SQL checks failing — connection pool exhaustion,CI/CD pipeline SQL checks failing — connection pool exhaustion. Root component: comp-sqlGW. Triggered by CR-9852. Resolved using TSG-319.,team-sql,INC-1052,Southeast Asia
INC-1494,CDN — Cache Purge Propagation Delay — East US,Sev2,Mitigating,2025-02-14T12:00:00.000Z,,,svc-cdn|svc-storage,comp-cdnPOP,,TSG-234,CDN-PurgeTimeout,"~24,502 customers — Stale content served after deployment — 5% of users seeing old UI",Stale content served after deployment — 5% of users seeing old UI. Root component: comp-cdnPOP. Resolved using TSG-234.,team-net,,North EU
INC-2684,CDN — Origin Shield SSL Negotiation Failure — North EU,Sev2,Resolved,2025-02-14T12:00:00.000Z,2025-02-14T12:29:00.000Z,29 min,svc-cdn,comp-cdnOrigin,CR-9813,,CDN-OriginSSLError,"~12,375 customers — CDN unable to fetch from origin — all requests returning 502",CDN unable to fetch from origin — all requests returning 502. Root component: comp-cdnOrigin. Triggered by CR-9813.,team-net,INC-1995,Southeast Asia
INC-1052,ACR — Geo-Replication Sync Lag > 10min — UK South,Sev0,Resolved,2025-02-12T12:00:00.000Z,2025-02-12T17:06:00.000Z,306 min,svc-acr|svc-ado|svc-aks,comp-acrGeo,,TSG-241,ACR-GeoSyncTimeout,"~381,113 customers — Cross-region image availability degraded — DR runbooks at risk",Cross-region image availability degraded — DR runbooks at risk. Root component: comp-acrGeo. Resolved using TSG-241.,team-containers,INC-1037|INC-3401|INC-3488,Australia East
INC-1116,Storage RP — Throttling on PUT Operations — East US,Sev1,Resolved,2025-02-12T12:00:00.000Z,2025-02-12T13:29:00.000Z,89 min,svc-storage|svc-functions,comp-storageRP,CR-9885,TSG-441,ThrottlingError-429,"~23,238 customers — Batch upload jobs failing with throttle errors",Batch upload jobs failing with throttle errors. Root component: comp-storageRP. Triggered by CR-9885. Resolved using TSG-441.,team-storage,INC-3012|INC-1003|INC-2901,North EU
